postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
LD1 6,5326,5326,Powys,,,Powys,,
LD1 9,,,Powys,,,Powys,,
LD2 3,5645,5645,Powys,,,Powys,,
LD2 9,,,Powys,,,Powys,,
LD3 0,4465,4465,Powys,,,Powys,,
LD3 3,,,Powys,,,Powys,,
LD3 7,5451,5450,Powys,,,Powys,,
LD3 8,4391,4390,Powys,,,Powys,,
LD3 9,5194,5194,Powys,,,Powys,,
LD4 4,817,817,Powys,,,Powys,,
LD5 4,1105,1103,Powys,,,Powys,,
LD6 5,2857,2857,Powys,,,Powys,,
LD7 1,4738,4327,Powys,,,Powys,,
LD7 9,,,Powys,,,Powys,,
LD8 2,4404,3946,Powys,,,Powys,,
LL11 0,,,Wrexham,,,Clwyd,,
LL11 1,505,505,Wrexham,,,Clwyd,,
LL11 2,7548,7548,Wrexham,,,Clwyd,,
LL11 3,6921,6921,Wrexham,Denbighshire,,Clwyd,,
LL11 4,9391,9391,Wrexham,,,Clwyd,,
LL11 5,6927,6927,Wrexham,Flintshire,,Clwyd,,
LL11 6,6738,6736,Wrexham,,,Clwyd,,
LL12 0,7880,7812,Wrexham,,,Clwyd,,
LL12 7,7402,7402,Wrexham,,,Clwyd,,
LL12 8,7857,7856,Wrexham,,,Clwyd,,
LL12 9,5207,5205,Wrexham,Flintshire,,Clwyd,,
LL13 0,7946,7946,Wrexham,,,Clwyd,,
LL13 7,8114,8114,Wrexham,,,Clwyd,,
LL13 8,8276,8276,Wrexham,,,Clwyd,,
LL13 9,10552,10552,Wrexham,,,Clwyd,,
LL14 1,5096,5093,Wrexham,,,Clwyd,,
LL14 2,8230,8230,Wrexham,,,Clwyd,,
LL14 3,7065,7053,Wrexham,,,Clwyd,,
LL14 4,3908,3908,Wrexham,,,Clwyd,,
LL14 5,5064,4460,Wrexham,,,Clwyd,,
LL14 6,4254,4254,Wrexham,,,Clwyd,,
LL15 1,6793,6792,Denbighshire,,,Clwyd,,
LL15 2,3523,3523,Denbighshire,,,Clwyd,,
