geography,population,density
CA28 6,9888,9
CA28 7,2798,24.7
CA28 8,8811,8.9
CA28 9,7095,7.1
CA3  0,6066,9.1
CA3  8,331,4.1
CA3  9,7618,21.8
CA4  0,3198,0.3
CA4  8,5631,1.8
CA4  9,850,0.2
CA5  6,3815,0.5
CA5  7,3299,0.3
CA6  4,4197,0.3
CA6  5,3336,0.3
CA6  6,1561,0.1
CA7  0,1710,0.2
CA7  1,1448,0.2
CA7  2,2690,0.4
CA7  3,2941,0.9
CA7  4,4087,0.7
CA7  5,1933,0.2
CA7  8,1893,0.2
CA7  9,5831,12.6
CA8  1,4745,1.7
CA8  2,1912,0.1
CA8  7,1431,0.1
CA8  9,2226,0.2
CA9  3,2088,0.1
CB1  1,3643,52.9
CB1  2,7603,74.2
CB1  3,18497,45.1
CB1  7,4396,42.4
CB1  8,5656,31.9
CB1  9,9443,9.3
CB10 1,4610,1
CB10 2,8887,0.9
CB11 3,9635,1.9
CB11 4,8412,1.1
CB2  0,1173,6.6
CB2  1,7559,54.4
CB2  3,2283,59.6
CB2  7,495,13
CB2  8,3875,13.1
CB2  9,3153,7.7
CB21 4,8505,1
CB21 5,5556,0.8
CB21 6,1565,0.9
CB22 3,7765,3.2
CB22 4,4311,2
CB22 5,7617,3.3
CB22 6,1232,1.7
CB22 7,3100,1.5
CB23 1,2656,1
CB23 2,1961,0.6
CB23 3,3452,3.1
CB23 4,1081,0.3
CB23 5,2337,23.4
CB23 6,5849,10.1
CB23 7,8509,2.6
CB23 8,5040,2.2
CB24 3,4184,2.1
CB24 4,3319,1.5
CB24 5,6877,2
CB24 6,4251,5.9
CB24 8,6543,1.9
CB24 9,7866,6
CB25 0,8216,1.4
CB25 9,10048,1.4
CB3  0,8737,7.7
CB3  9,7533,10.2
CB4  1,15887,36.7
CB4  2,14379,57.6
CB4  3,11632,36.6
CB5  8,11036,10.8
CB6  1,12422,2.2
CB6  2,11941,1
CB6  3,14012,1.6
CB7  4,8619,1.6
CB7  5,17997,1.1
CB8  0,9676,3.6
CB8  7,6488,2
CB8  8,9159,1.2
CB8  9,7918,0.6
CB9  0,8371,37.4
CB9  7,9770,1.2
CB9  8,6076,22.1
CB9  9,8654,17.3
CH1  1,900,21
CH1  2,949,11.1
CH1  3,3633,72.8
CH1  4,6733,21.7
CH1  5,13407,43.2
CH1  6,4938,1.2
CH2  1,9382,17.9
CH2  2,7705,49.6
CH2  3,9639,53.1
CH2  4,7595,2
CH3  5,12255,31.3
CH3  6,4832,1.3
CH3  7,6872,1.9
CH3  8,3991,2.1
CH3  9,4060,0.6
CH4  0,10233,7.5
CH4  7,7050,18.1
CH4  8,11474,27.1
CH4  9,3540,0.8
CH41 0,3637,52.6
CH41 1,526,8.3
CH41 2,2943,60.7
CH41 3,1286,28.2
CH41 4,2994,28.8
CH41 5,738,16.9
CH41 6,147,27.3
CH41 7,2241,13.7
CH41 8,2528,21.1
CH41 9,1627,17.5
CH42 0,2712,95.6
CH42 1,3342,41.5
CH42 2,2209,52.5
CH42 3,2641,38.7
CH42 4,3930,52.2
CH42 5,3073,70.6
CH42 6,4402,54.9
CH42 7,2307,86.7
CH42 8,2521,26.9
CH42 9,3919,82.8
CH43 0,5411,47.7
CH43 1,2750,50.3
CH43 2,4378,39.7
CH43 3,2596,18.2
CH43 4,2866,36.9
CH43 5,3573,48.7
CH43 6,1718,30.5
CH43 7,5742,33.6
CH43 8,1730,27.7
CH43 9,8152,25
CH44 0,3111,88.6
CH44 1,2764,93.8
CH44 2,2766,49.4
CH44 3,2470,58.7
CH44 4,4346,31.7
CH44 5,3069,66.1
CH44 6,2581,74.9
CH44 7,1807,29
CH44 8,3180,92.4
CH44 9,3820,84.1
CH45 0,1675,30.1
CH45 1,2787,55.2
CH45 2,2531,44.1
CH45 3,2549,36.8
CH45 4,3881,61.4
CH45 5,4846,80
CH45 6,2509,60.8
CH45 7,3467,75.8
CH45 8,4498,20.1
CH45 9,2112,65.9
CH46 0,3699,44.9
CH46 1,2755,21.1
CH46 2,2699,17.7
CH46 3,1835,18.8
CH46 5,523,10.9
CH46 6,5372,19.8
CH46 7,2665,32.6
CH46 8,3033,33.9
CH46 9,2899,26.5
CH47 0,628,61.6
CH47 1,665,12
CH47 2,2103,73.1
CH47 3,2305,34.9
CH47 4,933,6.6
CH47 5,788,38.2
CH47 6,916,27.9
CH47 7,1244,19.9
CH47 9,1327,3.3
CH48 0,1764,28.8
CH48 1,899,3.3
CH48 2,1367,6.5
CH48 3,1381,43.3
CH48 4,812,37.1
CH48 5,2694,10.1
CH48 6,2089,31.4
CH48 7,617,25.1
CH48 8,1301,15.5
CH48 9,2282,13.7
CH49 0,1747,20.7
CH49 1,2453,34.7
CH49 2,3664,31.4
CH49 3,3294,14.6
CH49 4,5099,39
CH49 5,1557,18.3
CH49 6,4085,32.4
CH49 7,2287,45.8
CH49 8,2699,44.8
